"BrNum","ID","Batch"
"Br6104","201962800050_R02C01","11062018"
"Br6122","201962800050_R03C01","11062018"
"Br6128","201962800050_R04C01","11062018"
"Br6263","201962800050_R05C01","11062018"
"Br6264","201962800050_R06C01","11062018"
"Br6265","201962800050_R07C01","11062018"
"Br6268","201962800050_R08C01","11062018"
"Br6272","201962800059_R01C01","11062018"
"Br6304","201962800059_R02C01","11062018"
"Br8015","201962800059_R03C01","11062018"
"Br8058","201962800059_R04C01","11062018"
"Br8067","201962800059_R05C01","11062018"
"Br2700","201962800059_R06C01","11062018"
"Br2706","201962800059_R07C01","11062018"
"Br2708","201962800059_R08C01","11062018"
"Br3852","201962800060_R01C01","11062018"
"Br6294","201962800060_R02C01","11062018"
"Br8192","201962800060_R03C01","11062018"
"Br8205","201962800060_R04C01","11062018"
"Br8208","201962800060_R05C01","11062018"
"Br8218","201962800060_R06C01","11062018"
"Br8223","201962800060_R07C01","11062018"
"Br3859","201962800060_R08C01","11062018"
"Br6051","201962800078_R01C01","11062018"
"Br6094","201962800078_R02C01","11062018"
"Br6126","201962800078_R03C01","11062018"
"Br6129","201962800078_R04C01","11062018"
"Br6151","201962800078_R05C01","11062018"
"Br6155","201962800078_R06C01","11062018"
"Br6156","201962800078_R07C01","11062018"
"Br6159","201962800078_R08C01","11062018"
"Br6171","201962800104_R01C01","11062018"
"Br6172","201962800104_R02C01","11062018"
"Br6178","201962800104_R03C01","11062018"
"Br6179","201962800104_R04C01","11062018"
"Br6180","201962800104_R05C01","11062018"
"Br6192","201962800104_R06C01","11062018"
"Br6195","201962800104_R07C01","11062018"
"Br6196","201962800104_R08C01","11062018"
"Br6198","201962800120_R01C01","11062018"
"Br6200","201962800120_R02C01","11062018"
"Br6202","201962800120_R03C01","11062018"
"Br6203","201962800120_R04C01","11062018"
"Br6204","201962800120_R05C01","11062018"
"Br6217","201962800120_R06C01","11062018"
"Br6219","201962800120_R07C01","11062018"
"Br6220","201962800120_R08C01","11062018"
"Br6223","201962800131_R01C01","11062018"
"Br6225","201962800131_R02C01","11062018"
"Br6229","201962800131_R03C01","11062018"
"Br8012","201962800131_R04C01","11062018"
"Br8034","201962800131_R05C01","11062018"
"Br8040","201962800131_R06C01","11062018"
"Br8048","201962800131_R07C01","11062018"
"Br8056","201962800131_R08C01","11062018"
"Br8059","201962800140_R01C01","11062018"
"Br8063","201962800140_R02C01","11062018"
"Br8069","201962800140_R03C01","11062018"
"Br8074","201962800140_R04C01","11062018"
"Br8078","201962800140_R05C01","11062018"
"Br8086","201962800140_R06C01","11062018"
"Br8092","201962800140_R07C01","11062018"
"Br8093","201962800140_R08C01","11062018"
"Br8104","202381640030_R01C01","11062018"
"Br8106","202381640030_R02C01","11062018"
"Br8107","202381640030_R03C01","11062018"
"Br8108","202381640030_R04C01","11062018"
"Br8109","202381640030_R05C01","11062018"
"Br8113","202381640030_R06C01","11062018"
"Br8123","202381640030_R07C01","11062018"
"Br8124","202381640030_R08C01","11062018"
"Br8126","202381640042_R01C01","11062018"
"Br8127","202381640042_R02C01","11062018"
"Br8131","202381640042_R03C01","11062018"
"Br8134","202381640042_R04C01","11062018"
"Br8136","202381640042_R05C01","11062018"
"Br8137","202381640042_R06C01","11062018"
"Br8138","202381640042_R07C01","11062018"
"Br8140","202381640042_R08C01","11062018"
"Br8145","202381640047_R01C01","11062018"
"Br8150","202381640047_R02C01","11062018"
"Br8161","202381640047_R03C01","11062018"
"Br8165","202381640047_R04C01","11062018"
"Br8168","202381640047_R05C01","11062018"
"Br8171","202381640047_R06C01","11062018"
"Br8173","202381640047_R07C01","11062018"
"Br8180","202381640047_R08C01","11062018"
"Br8189","202410230012_R01C01","11062018"
"Br8195","202410230012_R02C01","11062018"
"Br6078","202410230012_R03C01","11062018"
"Br6145","202410230012_R04C01","11062018"
"Br6199","202410230012_R05C01","11062018"
"Br6201","202410230012_R06C01","11062018"
"Br2550","202410230012_R07C01","11062018"
"Br2591","202410230012_R08C01","11062018"
"Br2627","202566680097_R01C01","11062018"
"Br5545","202566680097_R02C01","11062018"
"Br5591","202566680097_R03C01","11062018"
"Br5602","202566680097_R04C01","11062018"
"Br5610","202566680097_R05C01","11062018"
"Br5754","202566680097_R06C01","11062018"
"Br5866","202566680097_R07C01","11062018"
"Br5883","202566680097_R08C01","11062018"
"Br5624","202566680114_R01C01","11062018"
"Br5985","202566680114_R02C01","11062018"
"Br5988","202566680114_R03C01","11062018"
"Br6034","202566680114_R04C01","11062018"
"Br6047","202566680114_R05C01","11062018"
"Br6105","202566680114_R06C01","11062018"
"Br6117","202566680114_R07C01","11062018"
"Br6146","202566680114_R08C01","11062018"
"Br8057","202381640011_R01C01","11062018"
"Br2652","202381640011_R02C01","11062018"
"Br5468","202381640011_R03C01","11062018"
"Br5865","202381640011_R04C01","11062018"
"Br6323","202381640011_R05C01","11062018"
"Br6028","202566680042_R08C01","11062018"
"Br859","4463344335_R01C01","1M"
"Br922","4463344335_R01C02","1M"
"Br1113","4463344334_R01C01","1M"
"Br1134","4463344334_R01C02","1M"
"Br925","4463344526_R01C01","1M"
"Br1092","4463344526_R01C02","1M"
"Br827","4463344166_R01C01","1M"
"Br846","4463344166_R01C02","1M"
"Br1809","4463344232_R01C01","1M"
"Br1813","4463344232_R01C02","1M"
"Br1805","4463344294_R01C01","1M"
"Br1812","4463344294_R01C02","1M"
"Br1793","4463344670_R01C01","1M"
"Br1802","4463344670_R01C02","1M"
"Br1004","4463344575_R01C01","1M"
"Br1122","4463344575_R01C02","1M"
"Br1356","4463344384_R01C01","1M"
"Br1517","4463344384_R01C02","1M"
"Br1191","4463344122_R01C01","1M"
"Br1390","4463344122_R01C02","1M"
"Br1753","4463344375_R01C01","1M"
"Br1761","4463344375_R01C02","1M"
"Br1221","4463344431_R01C01","1M"
"Br1804","4463344431_R01C02","1M"
"Br1304","4463344452_R01C01","1M"
"Br1532","4463344452_R01C02","1M"
"Br1325","4463344524_R01C01","1M"
"Br1408","4463344524_R01C02","1M"
"Br948","4463344543_R01C01","1M"
"Br1058","4463344543_R01C02","1M"
"Br1096","4463344373_R01C01","1M"
"Br1225","4463344373_R01C02","1M"
"Br1796","4463344292_R01C01","1M"
"Br1803","4463344292_R01C02","1M"
"Br1801","4463344233_R01C01","1M"
"Br1811","4463344233_R01C02","1M"
"Br1806","4463344307_R01C01","1M"
"Br946","4463344307_R01C02","1M"
"Br1432","4463344553_R01C01","1M"
"Br1522","4463344553_R01C02","1M"
"Br1405","4463344306_R01C01","1M"
"Br1808","4463344306_R01C02","1M"
"Br1777","4463344254_R01C01","1M"
"Br1798","4463344254_R01C02","1M"
"Br1780","4463344668_R01C01","1M"
"Br1790","4463344668_R01C02","1M"
"Br1814","4463344408_R01C01","1M"
"Br1815","4463344408_R01C02","1M"
"Br1524","4463344295_R01C01","1M"
"Br1623","4463344295_R01C02","1M"
"Br1791","4463344231_R01C01","1M"
"Br1795","4463344231_R01C02","1M"
"Br1456","4463344574_R01C01","1M"
"Br914","4463344574_R01C02","1M"
"Br1735","4463344451_R01C01","1M"
"Br1750","4463344451_R01C02","1M"
"Br1473","4463344576_R01C01","1M"
"Br1384","4463344576_R01C02","1M"
"Br1816","4463344471_R01C01","1M"
"Br1824","4463344471_R01C02","1M"
"Br1879","4463344638_R01C01","1M"
"Br1968","4463344638_R01C02","1M"
"Br1275","4463344637_R01C01","1M"
"Br1525","4463344637_R01C02","1M"
"Br1271","4463344439_R01C01","1M"
"Br1204","4463344439_R01C02","1M"
"Br836","4463344542_R01C01","1M"
"Br1107","4463344542_R01C02","1M"
"Br1859","4463344242_R01C01","1M"
"Br1962","4463344242_R01C02","1M"
"Br1040","4463344695_R01C01","1M"
"Br1504","4463344695_R01C02","1M"
"Br1963","4463344194_R01C01","1M"
"Br1788","4463344194_R01C02","1M"
"Br1306","4463344651_R01C01","1M"
"Br1858","4463344651_R01C02","1M"
"Br1942","4463344382_R01C01","1M"
"Br1826","4463344382_R01C02","1M"
"Br1792","4463344405_R01C01","1M"
"Br1797","4463344405_R01C02","1M"
"Br1314","4572348425_R01C01","1M"
"Br1192","4572348520_R01C02","1M"
"Br844","4572348866_R01C02","1M"
"Br1247","4572348671_R01C02","1M"
"Br1003","4572348521_R01C02","1M"
"Br1102","4572348891_R01C02","1M"
"Br1437","4572348848_R01C01","1M"
"Br1677","4572348848_R01C02","1M"
"Br1214","4572348844_R01C01","1M"
"Br1276","4572348844_R01C02","1M"
"Br1702","4572348866_R01C01","1M"
"Br1223","4572348671_R01C01","1M"
"Br867","4572348521_R01C01","1M"
"Br1097","4572348891_R01C01","1M"
"Br1389","4572348357_R01C01","1M"
"Br1034","4572348357_R01C02","1M"
"Br1266","4572348434_R01C01","1M"
"Br1423","4572348434_R01C02","1M"
"Br1279","4572348328_R01C01","1M"
"Br1305","4572348328_R01C02","1M"
"Br1179","4572348673_R01C01","1M"
"Br1601","4572348673_R01C02","1M"
"Br1099","4572348520_R01C01","1M"
"Br1324","4572348425_R01C02","1M"
"Br949","4572348278_R01C01","1M"
"Br1054","4572348278_R01C02","1M"
"Br931","4572348380_R01C01","1M"
"Br872","4572348380_R01C02","1M"
"Br1303","4572348557_R01C01","1M"
"Br1197","4572348557_R01C02","1M"
"Br1374","4572348483_R01C01","1M"
"Br1630","4572348483_R01C02","1M"
"Br1053","4572348233_R01C01","1M"
"Br943","4572348233_R01C02","1M"
"Br1309","4572348320_R01C01","1M"
"Br1041","4572348320_R01C02","1M"
"Br989","4572348336_R01C01","1M"
"Br823","4572348336_R01C02","1M"
"Br1178","4572348455_R01C01","1M"
"Br1183","4572348455_R01C02","1M"
"Br856","4572348403_R01C01","1M"
"Br871","4572348403_R01C02","1M"
"Br1248","4572348556_R01C01","1M"
"Br1316","4572348556_R01C02","1M"
"Br1280","4572348382_R01C01","1M"
"Br1007","4572348382_R01C02","1M"
"Br1355","4572348595_R01C01","1M"
"Br854","4572348595_R01C02","1M"
"Br873","4572348358_R01C01","1M"
"Br831","4572348358_R01C02","1M"
"Br855","4572348330_R01C01","1M"
"Br1235","4572348330_R01C02","1M"
"Br1156","4572348338_R01C01","1M"
"Br1163","4572348338_R01C02","1M"
"Br884","4572348402_R01C01","1M"
"Br891","4572348402_R01C02","1M"
"Br1779","4572348870_R01C01","1M"
"Br1365","4572348870_R01C02","1M"
"Br1373","4572348801_R01C01","1M"
"Br885","4572348801_R01C02","1M"
"Br910","4572348821_R01C01","1M"
"Br1383","4572348821_R01C02","1M"
"Br1757","4572348851_R01C01","1M"
"Br1387","4572348851_R01C02","1M"
"Br1554","4572348878_R01C01","1M"
"Br1585","4572348878_R01C02","1M"
"Br1414","4572348854_R01C01","1M"
"Br1562","4572348854_R01C02","1M"
"Br1489","4572348805_R01C01","1M"
"Br1552","4572348805_R01C02","1M"
"Br1445","4572348804_R01C01","1M"
"Br1475","4572348804_R01C02","1M"
"Br1765","4572348802_R01C01","1M"
"Br1767","4572348802_R01C02","1M"
"Br1371","4572348845_R01C01","1M"
"Br1402","4572348845_R01C02","1M"
"Br1357","4572348847_R01C01","1M"
"Br1327","4572348847_R01C02","1M"
"Br1620","4572348803_R01C01","1M"
"Br1624","4572348803_R01C02","1M"
"Br1442","4572348800_R01C01","1M"
"Br1756","4572348800_R01C02","1M"
"Br1752","4572348846_R01C01","1M"
"Br1762","4572348846_R01C02","1M"
"Br1587","4572348850_R01C01","1M"
"Br1967","4572348850_R01C02","1M"
"Br1358","4572348871_R01C01","1M"
"Br1370","4572348871_R01C02","1M"
"Br1404","4572348063_R01C01","1M"
"Br1413","4572348063_R01C02","1M"
"Br1754","4572348442_R01C01","1M"
"Br1760","4572348442_R01C02","1M"
"Br1764","4572348475_R01C01","1M"
"Br1431","4572348475_R01C02","1M"
"Br1977","4572348476_R01C01","1M"
"Br1858","4572348476_R01C02","1M"
"Br1416","4572348608_R01C01","1M"
"Br1766","4572348608_R01C02","1M"
"Br1744","4572348701_R01C01","1M"
"Br1694","4572348701_R01C02","1M"
"Br1836","4572348702_R01C01","1M"
"Br1898","4572348702_R01C02","1M"
"Br1420","4572348703_R01C01","1M"
"Br1426","4572348703_R01C02","1M"
"Br1824","4572348740_R01C01","1M"
"Br1890","4572348740_R01C02","1M"
"Br1794","4572348741_R01C01","1M"
"Br1800","4572348741_R01C02","1M"
"Br909","4572348819_R01C01","1M"
"Br1040","4572348819_R01C02","1M"
"Br1395","4572348820_R01C01","1M"
"Br1403","4572348820_R01C02","1M"
"Br1331","4572348822_R01C01","1M"
"Br1458","4572348822_R01C02","1M"
"Br1459","4572348823_R01C01","1M"
"Br1504","4572348823_R01C02","1M"
"Br1236","4572348830_R01C01","1M"
"Br1400","4572348830_R01C02","1M"
"Br1061","4572348855_R01C01","1M"
"Br1109","4572348855_R01C02","1M"
"Br1686","4578969143_R01C01","1M"
"Br1436","4578969143_R01C02","1M"
"Br1290","4578977034_R01C01","1M"
"Br1533","4578977034_R01C02","1M"
"Br826","4578969111_R01C01","1M"
"Br993","4578969111_R01C02","1M"
"Br1824","4578977020_R01C01","1M"
"Br1685","4578977020_R01C02","1M"
"Br1873","4578977032_R01C01","1M"
"Br1167","4578977032_R01C02","1M"
"Br1654","4578977036_R01C01","1M"
"Br1691","4578977036_R01C02","1M"
"Br1331","4578969051_R01C01","1M"
"Br1306","4578969051_R01C02","1M"
"Br1405","4578977042_R01C01","1M"
"Br1504","4578977042_R01C02","1M"
"Br1448","4572348457_R01C01","1M"
"Br1573","4572348457_R01C02","1M"
"Br1470","4572348558_R01C01","1M"
"Br1635","4572348558_R01C02","1M"
"Br1430","4572348603_R01C01","1M"
"Br1546","4572348603_R01C02","1M"
"Br1450","4572348818_R01C01","1M"
"Br1454","4572348818_R01C02","1M"
"Br1637","4572348852_R01C01","1M"
"Br1715","4572348852_R01C02","1M"
"Br1514","4572348869_R01C01","1M"
"Br1656","4572348869_R01C02","1M"
"Br1746","4572348879_R01C01","1M"
"Br1484","4572348879_R01C02","1M"
"Br1675","4572348880_R01C01","1M"
"Br1716","4572348880_R01C02","1M"
"Br1041","4584656107_R01C01","1M"
"Br1060","4584656107_R01C02","1M"
"Br1142","4584664141_R01C01","1M"
"Br1143","4584664141_R01C02","1M"
"Br1178","4584664035_R01C01","1M"
"Br1179","4584664035_R01C02","1M"
"Br1225","4584664005_R01C01","1M"
"Br1235","4584664005_R01C02","1M"
"Br1340","4584664028_R01C01","1M"
"Br1350","4584664028_R01C02","1M"
"Br1357","4584656165_R01C01","1M"
"Br1384","4584656165_R01C02","1M"
"Br1442","4584656126_R01C01","1M"
"Br1536","4584656126_R01C02","1M"
"Br1383","4584664006_R01C01","1M"
"Br1458","4584664006_R01C02","1M"
"Br1526","4578942040_R01C01","1M"
"Br1610","4578942040_R01C02","1M"
"Br1576","4578969081_R01C01","1M"
"Br1590","4578969081_R01C02","1M"
"Br1751","4578969123_R01C01","1M"
"Br1253","4578969123_R01C02","1M"
"Br869","4578969139_R01C01","1M"
"Br1339","4578969139_R01C02","1M"
"Br1738","4578969141_R01C01","1M"
"Br1740","4578969141_R01C02","1M"
"Br1843","4578969148_R01C01","1M"
"Br921","4578969148_R01C02","1M"
"Br1667","4578969151_R01C01","1M"
"Br888","4578969151_R01C02","1M"
"Br1507","4578969153_R01C01","1M"
"Br1538","4578969153_R01C02","1M"
"Br983","4578969154_R01C01","1M"
"Br1479","4578969154_R01C02","1M"
"Br1415","4578977063_R01C01","1M"
"Br1269","4578977063_R01C02","1M"
"Br1663","4578977076_R01C01","1M"
"Br1729","4578977076_R01C02","1M"
"Br1016","4578977077_R01C01","1M"
"Br1050","4578977077_R01C02","1M"
"Br1447","4578977078_R01C01","1M"
"Br1503","4578977078_R01C02","1M"
"Br1840","4578977093_R01C01","1M"
"Br1418","4578977115_R01C01","1M"
"Br1419","4578977115_R01C02","1M"
"Br1298","4578977116_R01C01","1M"
"Br1399","4578977116_R01C02","1M"
"Br1051","4578977093_R01C02","1M"
"Br1578","4562457033_R01C01","1M"
"Br1591","4562457033_R01C02","1M"
"Br1025","4572348538_R01C01","1M"
"Br1081","4572348538_R01C02","1M"
"Br1283","4572348602_R01C01","1M"
"Br1321","4572348602_R01C02","1M"
"Br1417","4572348853_R01C01","1M"
"Br1487","4572348853_R01C02","1M"
"Br1529","4572348856_R01C01","1M"
"Br938","4572348856_R01C02","1M"
"Br1665","4578942138_R01C01","1M"
"Br1509","4578942138_R01C02","1M"
"Br1056","4578951090_R01C01","1M"
"Br1884","4578951090_R01C02","1M"
"Br1605","4578951098_R01C01","1M"
"Br1703","4578951098_R01C02","1M"
"Br1883","4578951106_R01C01","1M"
"Br1836","4578951106_R01C02","1M"
"Br1905","4578951108_R01C01","1M"
"Br858","4578951108_R01C02","1M"
"Br1678","4578951114_R01C01","1M"
"Br1722","4578951114_R01C02","1M"
"Br1682","4578951128_R01C01","1M"
"Br1745","4578951128_R01C02","1M"
"Br1434","4578969013_R01C01","1M"
"Br1651","4578969013_R01C02","1M"
"Br963","4578969017_R01C01","1M"
"Br1021","4578969017_R01C02","1M"
"Br1245","4578969019_R01C01","1M"
"Br1842","4578969019_R01C02","1M"
"Br1676","4578969043_R01C01","1M"
"Br1461","4578969043_R01C02","1M"
"Br1093","4578969056_R01C01","1M"
"Br1139","4578969056_R01C02","1M"
"Br1030","4578969057_R01C01","1M"
"Br1067","4578969057_R01C02","1M"
"Br1908","4578977010_R01C01","1M"
"Br1918","4578977010_R01C02","1M"
