"BrNum","ID","Batch"
"Br1119","8501601032_R02C01","5M"
"Br1051","8501601032_R03C01","5M"
"Br1477","9828658102_R01C01","5M"
"Br5063","9828658102_R02C01","5M"
"Br2039","9828658102_R03C01","5M"
"Br5151","9828658102_R04C01","5M"
"Br2353","9828658127_R01C01","5M"
"Br5370","9828658127_R02C01","5M"
"Br2513","9828658127_R03C01","5M"
"Br5182","9828658127_R04C01","5M"
"Br1640","9829125023_R01C01","5M"
"Br5068","9829125023_R02C01","5M"
"Br2291","9829125023_R03C01","5M"
"Br5138","9829125023_R04C01","5M"
"Br2327","9828658140_R01C01","5M"
"Br5072","9828658140_R02C01","5M"
"Br5015","9828658140_R03C01","5M"
"Br5147","9828658140_R04C01","5M"
"Br2333","9828658141_R01C01","5M"
"Br5070","9828658141_R02C01","5M"
"Br2073","9828658141_R03C01","5M"
"Br5144","9828658141_R04C01","5M"
"Br5250","9828658156_R01C01","5M"
"Br2027","9828658156_R02C01","5M"
"Br5292","9828658156_R03C01","5M"
"Br2425","9828658156_R04C01","5M"
"Br1733","9828658157_R01C01","5M"
"Br5069","9828658157_R02C01","5M"
"Br2345","9828658157_R03C01","5M"
"Br5141","9828658157_R04C01","5M"
"Br5270","9829125009_R01C01","5M"
"Br2343","9829125009_R02C01","5M"
"Br5324","9829125009_R03C01","5M"
"Br1171","9829125009_R04C01","5M"
"Br2378","9829125020_R01C01","5M"
"Br5135","9829125020_R02C01","5M"
"Br2534","9829125020_R03C01","5M"
"Br5205","9829125020_R04C01","5M"
"Br5235","9828658132_R01C01","5M"
"Br5367","9828658132_R02C01","5M"
"Br5287","9828658132_R03C01","5M"
"Br2423","9828658132_R04C01","5M"
"Br5262","9829125024_R01C01","5M"
"Br2313","9829125024_R02C01","5M"
"Br5323","9829125024_R03C01","5M"
"Br5053","9829125024_R04C01","5M"
"Br2075","9829125026_R01C01","5M"
"Br5071","9829125026_R02C01","5M"
"Br5012","9829125026_R03C01","5M"
"Br5019","8501651103_R02C01","5M"
"Br5020","8501651064_R04C01","5M"
"Br5021","8501651076_R02C01","5M"
"Br5022","8501651023_R01C01","5M"
"Br5023","8501651044_R01C01","5M"
"Br2001","8501601012_R03C01","5M"
"Br2275","9373406026_R02C01","5M"
"Br2337","8501601012_R01C01","5M"
"Br2385","9373406026_R03C01","5M"
"Br2388","9348679032_R04C01","5M"
"Br2447","9348680023_R01C01","5M"
"Br2542","9373408021_R03C01","5M"
"Br2543","9373408021_R04C01","5M"
"Br835","8501651112_R04C01","5M"
"Br2359","9348679008_R02C01","5M"
"Br2365","9348679020_R02C01","5M"
"Br2374","9348679004_R02C01","5M"
"Br2473","9373408026_R01C01","5M"
"Br2481","9348679020_R04C01","5M"
"Br2527","9348679016_R04C01","5M"
"Br2533","9373408026_R03C01","5M"
"Br5077","8501651044_R04C01","5M"
"Br5078","8501651071_R01C01","5M"
"Br5083","8501651024_R02C01","5M"
"Br1986","9348679020_R03C01","5M"
"Br2040","9348679003_R04C01","5M"
"Br5087","8501651028_R02C01","5M"
"Br5088","8501651028_R03C01","5M"
"Br5091","8501651131_R01C01","5M"
"Br5092","8501651131_R02C01","5M"
"Br5093","8501651131_R03C01","5M"
"Br5098","8501651074_R03C01","5M"
"Br5102","8501651065_R03C01","5M"
"Br5105","8501651068_R03C01","5M"
"Br5106","8501651068_R04C01","5M"
"Br5110","8501651064_R01C01","5M"
"Br5111","8501651064_R02C01","5M"
"Br5112","8501651064_R03C01","5M"
"Br5115","8501651103_R03C01","5M"
"Br5116","8501651056_R01C01","5M"
"Br5117","8501651056_R02C01","5M"
"Br1119","9348679016_R02C01","5M"
"Br2298","9348679016_R03C01","5M"
"Br2301","9373406026_R04C01","5M"
"Br2305","9348679032_R02C01","5M"
"Br5120","8501651056_R04C01","5M"
"Br5121","8501651044_R03C01","5M"
"Br5122","8501651024_R01C01","5M"
"Br5128","8501651076_R01C01","5M"
"Br5129","8501651076_R03C01","5M"
"Br1317","8501651112_R02C01","5M"
"Br5124","8501651024_R03C01","5M"
"Br5125","8501651065_R01C01","5M"
"Br5126","8501651068_R01C01","5M"
"Br5127","8501651103_R04C01","5M"
"Br2260","9373406026_R01C01","5M"
"Br2262","9348679019_R04C01","5M"
"Br2265","9348680023_R03C01","5M"
"Br5118","8501651056_R03C01","5M"
"Br5114","8501651103_R01C01","5M"
"Br5131","8501651076_R04C01","5M"
"Br5159","9348679019_R01C01","5M"
"Br5168","9348679019_R03C01","5M"
"Br5175","9348679019_R02C01","5M"
"Br2321","9348679004_R01C01","5M"
"Br1051","9348679016_R01C01","5M"
"Br5107","8501651023_R02C01","5M"
"Br5108","8501651023_R03C01","5M"
"Br5109","8501651023_R04C01","5M"
"Br2429","9348679032_R03C01","5M"
"Br2470","9348679007_R04C01","5M"
"Br5103","8501651065_R04C01","5M"
"Br5104","8501651068_R02C01","5M"
"Br2484","9348680023_R02C01","5M"
"Br2486","9373408026_R02C01","5M"
"Br5099","8501651074_R04C01","5M"
"Br5100","8501651065_R02C01","5M"
"Br2538","9373408026_R04C01","5M"
"Br2539","9373408021_R01C01","5M"
"Br5094","8501651131_R04C01","5M"
"Br5095","8501651074_R01C01","5M"
"Br5096","8501651074_R02C01","5M"
"Br5089","8501651028_R04C01","5M"
"Br2562","9348679003_R02C01","5M"
"Br2566","9348679003_R03C01","5M"
"Br1971","8501601032_R04C01","5M"
"Br2453","9348679004_R03C01","5M"
"Br2456","9348679007_R02C01","5M"
"Br2464","9348679007_R03C01","5M"
"Br2541","9373408021_R02C01","5M"
"Br2557","9348679003_R01C01","5M"
"Br1836","8501601032_R01C01","5M"
"Br2070","9348679008_R03C01","5M"
"Br5085","8501651024_R04C01","5M"
"Br5086","8501651028_R01C01","5M"
"Br653","8501651112_R03C01","5M"
"Br5079","8501651071_R02C01","5M"
"Br5080","8501651071_R03C01","5M"
"Br5081","8501651071_R04C01","5M"
"Br5075","8501651044_R02C01","5M"
"Br2356","8501651112_R01C01","5M"
"Br2358","9348679008_R01C01","5M"
"Br2287","9348679020_R01C01","5M"
"Br2377","9348679004_R04C01","5M"
"Br2347","9348680023_R04C01","5M"
"Br2350","8501601012_R02C01","5M"
"Br2351","8501601012_R04C01","5M"
"Br5026","9348679008_R04C01","5M"
"Br2393","9348679007_R01C01","5M"
"Br2405","9348679032_R01C01","5M"
"Br5145","9829125026_R04C01","5M"
"Br2476","9829125027_R01C01","5M"
"Br5146","9829125027_R02C01","5M"
"Br2573","9829125027_R03C01","5M"
"Br5212","9829125027_R04C01","5M"
"Br2371","9829181002_R01C01","5M"
"Br5066","9829181002_R02C01","5M"
"Br2521","9829181002_R03C01","5M"
"Br5200","9829181002_R04C01","5M"
"Br5259","9829181011_R01C01","5M"
"Br2295","9829181011_R02C01","5M"
"Br5314","9829181011_R03C01","5M"
"Br2454","9829181011_R04C01","5M"
"Br1468","9829181016_R01C01","5M"
"Br5005","9829181016_R02C01","5M"
"Br2494","9829181016_R03C01","5M"
"Br5161","9829181016_R04C01","5M"
"Br1300","9853746043_R01C01","5M"
"Br2582","9853746043_R02C01","5M"
"Br2474","9853746043_R03C01","5M"
"Br5154","9853746043_R04C01","5M"
"Br5213","9853746044_R01C01","5M"
"Br5330","9853746044_R02C01","5M"
"Br5276","9853746044_R03C01","5M"
"Br2346","9853746044_R04C01","5M"
"Br1457","9853746068_R01C01","5M"
"Br5062","9853746068_R02C01","5M"
"Br2052","9853746068_R03C01","5M"
"Br5074","9853746068_R04C01","5M"
"Br1334","9853746069_R01C01","5M"
"Br2587","9853746069_R02C01","5M"
"Br2492","9853746069_R03C01","5M"
"Br5155","9853746069_R04C01","5M"
"Br5228","9853746074_R01C01","5M"
"Br5338","9853746074_R02C01","5M"
"Br5280","9853746074_R03C01","5M"
"Br2348","9853746074_R04C01","5M"
"Br5232","9853746110_R01C01","5M"
"Br5348","9853746110_R02C01","5M"
"Br5286","9853746110_R03C01","5M"
"Br2421","9853746110_R04C01","5M"
"Br1528","9853746111_R01C01","5M"
"Br5065","9853746111_R02C01","5M"
"Br2322","9853746111_R03C01","5M"
"Br5134","9853746111_R04C01","5M"
"Br2304","9853746126_R01C01","5M"
"Br5024","9853746126_R02C01","5M"
"Br2509","9853746126_R03C01","5M"
"Br5165","9853746126_R04C01","5M"
"Br6090","202381640013_R01C01","11062018"
"Br6083","202381640013_R02C01","11062018"
"Br6170","202381640013_R03C01","11062018"
"Br6222","202381640013_R04C01","11062018"
"Br6257","202381640013_R05C01","11062018"
"Br6218","202381640013_R06C01","11062018"
"Br8153","202381640013_R07C01","11062018"
"Br5588","202381640013_R08C01","11062018"
"Br6030","202410230017_R01C01","11062018"
"Br6092","202410230017_R02C01","11062018"
"Br6095","202410230017_R03C01","11062018"
"Br6111","202410230017_R04C01","11062018"
"Br6143","202410230017_R05C01","11062018"
"Br6157","202410230017_R06C01","11062018"
"Br6177","202410230017_R07C01","11062018"
"Br6191","202410230017_R08C01","11062018"
"Br8026","202381640001_R01C01","11062018"
"Br8033","202381640001_R02C01","11062018"
"Br8047","202381640001_R03C01","11062018"
"Br8090","202381640001_R04C01","11062018"
"Br2701","202381640001_R05C01","11062018"
"Br5986","202381640001_R06C01","11062018"
"Br6131","202381640001_R07C01","11062018"
"Br6144","202381640001_R08C01","11062018"
"Br6148","202381640003_R01C01","11062018"
"Br6150","202381640003_R02C01","11062018"
"Br6193","202381640003_R03C01","11062018"
"Br6197","202381640003_R04C01","11062018"
"Br6206","202381640003_R05C01","11062018"
"Br6208","202381640003_R06C01","11062018"
"Br6210","202381640003_R07C01","11062018"
"Br6227","202381640003_R08C01","11062018"
"Br8041","202566680021_R01C01","11062018"
"Br8045","202566680021_R02C01","11062018"
"Br8062","202566680021_R03C01","11062018"
"Br8085","202566680021_R04C01","11062018"
"Br8105","202566680021_R05C01","11062018"
"Br8114","202566680021_R06C01","11062018"
"Br8170","202566680021_R07C01","11062018"
"Br8181","202566680021_R08C01","11062018"
"Br8194","202566680065_R01C01","11062018"
"Br8004","202566680065_R02C01","11062018"
"Br5658","202566680065_R03C01","11062018"
"Br6072","202566680065_R04C01","11062018"
"Br6096","202566680065_R05C01","11062018"
"Br8073","202566680065_R06C01","11062018"
"Br8162","202566680065_R07C01","11062018"
"Br5064","202566680065_R08C01","11062018"
"Br6102","201962800050_R01C01","11062018"
